"","Species","SpecCode.x","Genus.x","SpeciesRefNo","Author","PicPreferredName","FamCode","GenCode","BodyShapeI","Source","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","Vulnerability","Length","LTypeMaxM","MaxLengthRef","PriceCateg","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","UsedasBait","Aquarium","GameFish","Dangerous","Electrogenic","GoogleImage","Comments","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","SpecCode.y","Genus.y","Family","Order","Class","SuperClass","Phylum","AreaCode","StockCode","Status","FAO","Invasive","MaxLengthTL","Troph","TempPrefMin","TempPrefMean","TempPrefMax"
"13","Acanthurus coeruleus",944,"Acanthurus",7251,"Bloch & Schneider, 1801","Accoe_u0.jpg",412,9710,"short and / or deep","O",0,0,0,1,"reef-associated","WaterAssumed",58.55,39,"TL",36453,"medium",0,0,0,0,1,0,0,0,1,0,"never/rarely","occasionally","commercial",0,"traumatogenic","no special ability",1,"Inhabits coral reefs, inshore grassy or rocky areas.  Forms small groups (Ref. 26235).  Mainly diurnal.  Feeds entirely on algae (Ref. 5521).  At Fernando de Noronha Archipelago in  southwestern Atlantic,  juveniles hold cleaning stations together with the doctorfish (<i>Acanthurus chirurgus</i>) and sergeant major (<i>Abudefduf saxatilis</i>) and graze algae as well as pick molted skin and parasites from green turtles (<i>Chelonia mydas</i>).  This behavior is preceded by a characteristic inspection usually followed by feeding nips on the turtles’ skin (head, limbs, and tail), as well as on the carapace. The most inspected and cleaned body parts are the flippers (Ref. 51385).  Diurnal species (Ref. 3194). It forms resident spawning aggregations in late afternoon after high tide (Ref. 27825, 120681, 120682). The spine on both sides of the caudal peduncle may inflict painful wounds (Ref. 5217).  Marketed fresh.  Maximum depth reported taken from Ref. 127989.",0.5,0,2,1990-10-17,2762,2023-01-12,944,"Acanthurus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes","Chordata",37,960,"introduced","Mediterranean and Black Sea","Yes",39,2.15000009536743,23.7,27.4,28.1
"14","Acanthurus monroviae",1800,"Acanthurus",7345,"Steindachner, 1876","Acmon_u5.jpg",412,9710,"short and / or deep","R",0,0,1,1,"demersal","WaterAssumed",41.96,45,"SL",3148,"medium",0,1,0,1,0,1,0,0,1,1,"never/rarely","never/rarely","commercial",0,"harmless","no special ability",1,"Coastal species found in the mouth of rivers and lagoons (Ref. 7345).  Found on rocky and coral bottoms (Ref. 2683).  Feeds on zooplankton, phytoplankton and detritus (Ref. 28587).  Minimum depth reported from Ref. 27115.",0.5,0,3,1990-10-25,34,1999-06-30,1800,"Acanthurus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes","Chordata",37,1996,"questionable","Mediterranean and Black Sea","Yes",54.9000015258789,2.5,21.9,26.5,28
"15","Acanthurus sohal",4740,"Acanthurus",1920,"(Forsskål, 1775)","Acsoh_u0.jpg",412,9710,"short and / or deep","R",0,0,0,1,"reef-associated","WaterAssumed",30,40,"TL",30573,"medium",0,0,0,1,0,1,0,0,0,1,"never/rarely","never/rarely","commercial",0,"harmless","no special ability",1,"A common species found in seaward edges of reefs exposed to surge (Ref. 9710).  Aggressive and territorial (Ref. 9710).  Feeds on various kinds of algae, mainly <i>Sargassum</i>, and fine filamentous green algae.  Caught with nets (Ref. 30573); traps and occasionally by trawls (Ref. 68964).",0.5,0,14,1991-11-26,2291,2015-07-02,4740,"Acanthurus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes","Chordata",NA,NA,NA,NA,"Yes",40,2,24.5,27,29.2
"16","Acipenser naccarii",2504,"Acipenser",59043,"Bonaparte, 1836","Acnac_u0.jpg",32,2154,"elongated","O",0,1,1,1,"demersal","WaterAssumed",86.02,200,"TL",3397,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","electrosensing only",1,"Occurs in the sea close to shore and estuaries, not entering pure marine waters.  In freshwater, it inhabits large deep rivers (Ref.  59043).  A long-lived species which is found mainly over sand and mud.  Feeds on bottom-living invertebrates and small fishes.  Reproduction takes place from May to July.  Is threatened by habitat destruction, pollution and overfishing (Ref. 26100).  The flesh is used for food but the eggs are not consumed as caviar (Ref. 6866).",0.5,0,2,1991-03-19,1816,2013-04-17,2504,"Acipenser","Acipenseridae","Acipenseriformes","Chondrostei","Osteichthyes","Chordata",37,2698,"native","Mediterranean and Black Sea","No",200,3.34999990463257,14.7,17.4,18.2
"17","Acipenser stellatus",2065,"Acipenser",3397,"Pallas, 1771","Acste_ua.jpg",32,2154,"elongated","O",0,1,1,1,"demersal","WaterAssumed",84.74,250,"TL",98365,"unknown",0,0,0,0,0,0,0,0,0,0,"commercial","never/rarely","public aquariums",0,"harmless","electrosensing only",1,"At the sea, it occurs in coastal and estuarine zones and forages on the bottom mostly on clayey sand and intensively in the middle and upper water layers (Ref.  59043).  Found mainly near shore over sand and mud, stays at the bottom during the day and rises to the surface to feed at night.  Feeds mainly on fish, also mollusks, crustaceans and worms (Ref. 3193).  Spawns in strong-current habitats in main course of large and deep rivers, on stone or gravel bottom.  Spawning also takes place on flooded river banks and if gravel bottom is not available, on sand or sandy clay.  Juveniles stay in shallow riverine habitats during first summer (Ref. 59043).  One of the three most important species for caviar; also utilized fresh and frozen; eaten pan-fried, broiled and baked (Ref. 9988).  Overfishing at the sea for meat and caviar will soon cause extinction of the natural populations and their survival can only depend on stocking (Ref. 59043).",0.5,0,2,1991-01-18,2448,2022-06-27,2065,"Acipenser","Acipenseridae","Acipenseriformes","Chondrostei","Osteichthyes","Chordata",37,2260,"native","Mediterranean and Black Sea","No",250,3.49000000953674,7.6,13.1,15.9
"18","Acipenser sturio",2066,"Acipenser",3397,"Linnaeus, 1758","Acstu_u1.jpg",32,2154,"elongated","O",0,1,1,1,"demersal","WaterAssumed",88.08,600,"TL",59043,"unknown",0,1,0,0,0,0,0,0,1,0,"commercial","never/rarely","never/rarely",0,"harmless","electrosensing only",1,"Amphihaline and anadromous fish (Ref. 51346, 51439), frequenting littoral zones (Ref. 2163, 51439, 51442). A long-lived and slow-growing species (Ref. 9988). It lives the major part of his life in sea but enters rivers for reproduction (Ref. 30578, 51442). Found on various substrates, from sand to rocks (Ref. 51346). At the sea, it occurs in coastal and estuarine zones. In freshwaters, it inhabits estuaries and large rivers (Ref. 59043). Juveniles found both in estuaries and in the sea (Ref. 2163), they slowly adapt to saltwater (Ref. 89103) and usually spend around 2-3 years in river estuaries before moving to the sea (Ref. 40152), some may migrate to the sea during their first summer (Ref. 59043). Usually solitary. Feeds on crustaceans, mollusks, polychaete worms and small fish. Today most males only reach 100-150 cm length, females 130-215 cm (Ref. 59043, 89104). Utilized fresh and frozen, and also for caviar; eaten steamed, pan-fried, broiled, boiled, microwaved and baked (Ref. 9988). A threatened species, mainly due to bycatch, poaching, habitat degradation (spawning grounds, nursery areas) and physical obstacles to migration (Ref. 26160). 
",0.5,0,2,1991-01-18,2189,2012-01-25 22:15:38,2066,"Acipenser","Acipenseridae","Acipenseriformes","Chondrostei","Osteichthyes","Chordata",37,2261,"native","Mediterranean and Black Sea","No",600,3.50999999046326,7.3,11,18.8
"19","Aetomylaeus bovinus",5011,"Aetomylaeus",97392,"(Geoffroy Saint-Hilaire, 1817)","Ptbov_u1.jpg",22,7685,"other","R",0,0,1,1,"benthopelagic","WaterAssumed",82.5,NA,NA,85836,"medium",1,1,0,0,0,0,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"harmless","no special ability",1,"Found in coastal tropical and warm temperate waters, occasionally offshore.  Sometimes found in small groups (Ref. 5578).  Feed on bottom-living crustaceans and mollusks.  Ovoviviparous (Ref. 50449), aplacental (Ref. 57025).  Prized angling fish, often released (Ref. 5578).  Flesh highly esteemed (Ref. 3965).",0.507799983024597,0,2,1992-02-11,3,2015-11-23,5011,"Aetomylaeus","Myliobatidae","Myliobatiformes","Elasmobranchii","Chondrichthyes","Chordata",37,5245,"native","Mediterranean and Black Sea","No",137.5,3.78999996185303,13.7,17.2,24.5
"20","Aidablennius sphynx",25971,"Aidablennius",5981,"(Valenciennes, 1836)","Aisph_u2.jpg",392,3633,"elongated","O",0,0,0,1,"demersal","WaterAssumed",10,8,"TL",5981,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Found in very shallow, rocky, littoral zone, exposed to sunlight and surf; on horizontal, algae-covered terraces.  Feed on benthic invertebrates and algae (Ref. 5981).  Oviparous.  Eggs are demersal and adhesive (Ref. 205), and are attached to the substrate via a filamentous, adhesive pad or pedestal (Ref. 94114).  Males guard eggs in burrows (Ref. 5981).  Larvae are planktonic, often found in shallow, coastal waters (Ref. 94114).",1,0,34,1997-01-20,2,2014-01-20,25971,"Aidablennius","Blenniidae","Blenniiformes","Teleostei","Osteichthyes","Chordata",37,20482,"native","Mediterranean and Black Sea","No",8,2.09999990463257,17,18.8,19.9
"21","Alectis alexandrina",1888,"Alectis",7097,"(Geoffroy Saint-Hilaire, 1817)","Alale_u3.jpg",314,2433,"short and / or deep","R",0,0,0,1,"pelagic-neritic","WaterAssumed",60,100,"TL",27584,"high",1,0,0,0,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"harmless","no special ability",1,"Adults solitary in coastal water near the bottom to at least 50 m and strong swimmers (Ref. 7079, 57392).  Juveniles usually pelagic and drifting, sometimes occurring in brackish water (Ref. 4225, 57392).  Feed on squid and other fishes (Ref. 4233).  Eggs are pelagic (Ref. 4233).",0.625,0,2,1990-11-10,1307,2015-03-20 21:17:29,1888,"Alectis","Carangidae","Carangiformes","Teleostei","Osteichthyes","Chordata",37,2084,"native","Mediterranean and Black Sea","No",100,3.59999990463257,18.6,24.4,27.9
"22","Alepes djedaba",1889,"Alepes",3397,"(Forsskål, 1775)","Aldje_u2.jpg",314,1495,"fusiform / normal","O",0,0,0,1,"reef-associated","WaterAssumed",24.73,40,"TL",11228,"medium",0,0,0,1,0,1,0,0,0,0,"never/rarely","never/rarely","never/rarely",1,"harmless","no special ability",1,"Adults form large schools near inshore reefs (Ref. 30573).  Feed on shrimps, copepods, decapod larvae and other crustacean larvae and small fish (Ref. 5213, 90102).  Eggs are pelagic (Ref. 4233).  Often caught by ski-boat anglers in southern Africa (Ref. 12484).",0.531199991703033,0,2,1990-11-10,303,2013-09-24,1889,"Alepes","Carangidae","Carangiformes","Teleostei","Osteichthyes","Chordata",37,2085,"introduced","Mediterranean and Black Sea","Yes",40,3.3199999332428,24.7,28,29
"23","Alepisaurus ferox",99,"Alepisaurus",6011,"Lowe, 1833","Alfer_u0.jpg",171,7948,"elongated","R",0,0,0,1,"bathypelagic","WaterAssumed",90,215,"TL",7251,"unknown",0,0,0,0,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Mainly inhabit tropical and subtropical waters; however, during the feeding period adults may migrate to the subarctic reaching as far north as Greenland, Iceland and the Bering Sea (Ref. 51887).  Epipelagic- and mesopelagic, from near the surface to below 1,000 m, sometimes approaching inshore waters (Ref. 6011).  Bathypelagic (Ref. 58302).  Mainly nocturnal.  Feeds on fishes, cephalopods, tunicates, and crustaceans (Ref. 6011).  Preyed upon by opah, sharks, albacore, yellowfin tuna, and fur seals (Ref. 6885).  Oviparous, with planktonic larvae (Ref. 36025).  Are synchronous hermaphrodites (Ref. 84733).  Occasionally consumed but of little importance due to its soft flesh (Ref. 5217).  The maximum weight given is for a 167 cm FL specimen (Ref. 42154).",1,0,1,1990-10-17,2,2010-07-30,99,"Alepisaurus","Alepisauridae","Aulopiformes","Teleostei","Osteichthyes","Chordata",37,113,"native","Mediterranean and Black Sea","No",215,4.03000020980835,4.7,8.9,14.6
"24","Alepocephalus rostratus",5071,"Alepocephalus",2719,"Risso, 1820","Alros_u0.jpg",86,960,"elongated","O",0,0,0,1,"bathydemersal","WaterAssumed",60.23,50,"SL",4460,"unknown",0,0,0,0,0,0,0,0,0,0,"never/rarely","never/rarely","never/rarely",0,"harmless","no special ability",1,"Found over soft bottoms (Ref. 4736).  Feeds on pelagic crustaceans like euphausiids, decapods and mysids (Ref. 27637).",0.5,0,2,1992-02-14,65,2016-01-13,5071,"Alepocephalus","Alepocephalidae","Alepocephaliformes","Teleostei","Osteichthyes","Chordata",37,5309,"native","Mediterranean and Black Sea","No",61,3.67000007629395,4.5,8.5,13.5
"25","Alopias superciliosus",2534,"Alopias",247,"Lowe, 1841","Alsup_u0.jpg",486,6653,"fusiform / normal","R",0,0,0,1,"pelagic-oceanic","WaterAssumed",84.92,487.984985351562,"TL",40637,"low",0,1,0,1,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"harmless","electrosensing only",1,"Occurs in coastal waters over continental shelves, sometimes close inshore in shallow waters, and on the high seas far from land (Ref. 247, 43278, 58302).  Oceanic, pelagic and near bottom at 1->500 m (Ref. 58302).  Depth range to at least 500 m (Ref. 247).  Feeds on pelagic fishes (lancetfishes, herring, mackerel and small billfishes (Ref. 43278)) and bottom fishes (hake (Ref. 43278)) and squids (Ref. 247).  Ovoviviparous, embryos feeding on yolk sac and other ova produced by the mother (Ref. 43278, 50449).  Stuns its prey with its long caudal fin (Ref. 247).  Utilized for human consumption, liver oil for vitamins, skin for leather, and fins for shark-fin soup (Ref. 247).  Marketed fresh and may be broiled, baked or grilled, but unsuitable for steaming, boiling or frying; meat may be salted and dried (Ref. 9987).  Also Ref. 33743.",0.75,0,23,1992-06-15,303,2012-02-22,2534,"Alopias","Alopiidae","Lamniformes","Elasmobranchii","Chondrichthyes","Chordata",37,2730,"native","Mediterranean and Black Sea","No",487.980010986328,4.46000003814697,19.2,27.1,29
"26","Alopias vulpinus",2535,"Alopias",247,"(Bonnaterre, 1788)","Alvul_uh.jpg",486,6653,"fusiform / normal","R",0,0,0,1,"pelagic-oceanic","WaterAssumed",76.65,573.299987792969,"TL",106604,"high",0,1,0,0,0,1,0,0,1,0,"never/rarely","never/rarely","never/rarely",1,"harmless","electrosensing only",1,"Coastal over continental and insular shelves and epipelagic far from land (Ref. 30573, 43278, 58302).  Oceanic although most abundant near land, pelagic at 1-366 m (Ref. 58302).  Young often close inshore and in shallow bays (Ref. 5578).  Feeds on schooling fishes (including mackerels, bluefishes, clupeids, needlefishes, lancetfishes and lanternfishes), squid, octopi, pelagic crustaceans, and rarely seabirds (Ref. 247).  Ovoviviparous, embryos feeding on yolk sac and other ova produced by the mother (Ref. 43278, 50449).  Uses its long caudal fin to bunch up and stun prey (Ref. 2850).  Spatial and depth segregation by sex in northwestern Indian Ocean populations (Ref. 247).  A few attacks on boats are doubtfully attributed to this species, but it is otherwise apparently harmless to humans, though the size of adults of this species command respect (Ref. 247).  May cause damage to fishing gear (Ref. 6885).  Valued for its meat, liver, hide, and fins; utilized fresh, dried-salted, smoked, and frozen (Ref. 9987).",0.75,0,23,1992-06-15,303,2016-10-05,2535,"Alopias","Alopiidae","Lamniformes","Elasmobranchii","Chondrichthyes","Chordata",37,2731,"native","Mediterranean and Black Sea","No",573.299987792969,4.5,11.6,23.3,28.2
